,country_name,DV_phys_or_sex_partner_p,DM_age_mean,DM_age_mean,DM_age_marr_mean,DM_age_marr_mean,WK_working_p,DM_urban_p,DM_marr_p,ED_educ_years_mean,FF_TFR,DP_decide_health_p,hdi,country_code,latitude,longitude,GDP,PCA2,PCA3,PCA1,class
24,Liberia,36.410000000000004,29.401999999999997,29.401999999999997,17.978,17.978,56.827,34.269,65.661,3.214,5.7066,16.804,0.41019777714285716,LR,6.428055,-9.429499,1178228094.4444444,-1.5289072694088746,-1.260725281665077,-0.13636603149313528,0
25,Madagascar,0.0,29.099484126851852,29.099484126851852,17.974550264444446,17.974550264444446,81.43181216944446,21.98120370388889,66.62780423296296,3.9041402116296298,5.3261111111111115,34.25916666666667,0.4764729839444445,MG,-18.766947,46.869107,7753711255.388889,-1.8966637065688299,-1.4799763000806623,-1.4008023398494847,0
26,Malawi,30.42986111111111,27.8815625,27.8815625,17.533333333333335,17.533333333333335,57.012499999999996,17.430104166666666,69.34614583333334,5.4596875,5.63771875,20.153645833333332,0.4202628774166666,MW,-13.254308,34.301525,4884066633.055555,-2.0220479245118193,-0.1609870353002305,-0.4054387264804475,0
27,Maldives,13.721666666666666,26.6875,26.6875,19.480833333333333,19.480833333333333,34.155,13.456666666666665,67.78333333333333,6.526666666666666,2.5069166666666667,16.969166666666666,0.0,MV,3.202778,73.22068,2331212743.1055555,0.5728468585879872,1.8530396466960615,0.14695054314784567,1
28,Mali,26.227115384615384,28.562677631578946,28.562677631578946,17.00628289473684,17.00628289473684,49.614868421052634,29.582388157894737,82.90940131578947,1.6362697348684212,6.373282236842105,9.660729166666666,0.35374100760465116,ML,17.570692,-3.996166,9324284529.333334,-3.6525555123031657,-0.49911008900740655,0.6911553590486118,0
29,Morocco,0.0,29.451818181666667,29.451818181666667,19.40242424166667,19.40242424166667,18.683560606666667,57.79681818166667,52.002424242500005,3.5170454545416665,2.6732878787499996,11.486666666666666,0.55358721565,MA,31.791702,-7.09262,80619806822.94444,1.9950488547722038,-0.051446615959266556,2.1177631186940995,1
30,Mozambique,32.99636363636363,28.550454545454546,28.550454545454546,17.70689393939394,17.70689393939394,58.06587121212121,36.945795454545454,68.68590909090909,3.1481818181818184,5.611625,31.725909090909088,0.3524284378939394,MZ,-18.665695,35.529562,10222225598.333334,-1.8585129368916815,-0.7303003451950556,0.057949580647197595,0
31,Namibia,24.56230769230769,28.75043956043956,28.75043956043956,22.90903846153846,22.90903846153846,39.47626373626374,44.546043967032965,38.64104395604396,8.016648368131868,3.978340659340659,43.573461538461544,0.5868613291758242,NA,-22.95764,18.49041,9012975186.11111,5.051086259461159,-0.3636271363732507,-2.4140313179682282,1
32,Nepal,0.0,26.747657142857143,26.747657142857143,16.638571428571428,16.638571428571428,72.1612,10.072171428571428,77.95514285714285,1.9753714285714288,3.7883542857142856,15.133000000000001,0.46317410760000005,NP,28.394857,84.124008,13561851948.61111,-3.6210908246686144,0.8803547660947996,-0.16809562488141835,0
33,Nicaragua,0.0,28.353137255294115,28.353137255294115,17.477058823235296,17.477058823235296,36.19107843147059,53.43196078411764,59.555588235882354,5.648921568647059,3.5902450980588236,42.89705882352941,0.5729838324705883,NI,12.865416,-85.207229,8645302613.166666,0.08549093788024434,-0.04535368188630729,2.4289692327193,1
34,Niger,0.0,28.494503205128204,28.494503205128204,15.793846153846156,15.793846153846156,39.20594551282051,26.106009615384615,83.84783653846155,1.359951923076923,7.051341346153847,11.318333333333333,0.29853728444871797,NE,17.607789,8.081666,5099314885.722222,-4.73716654991019,-0.2989278988405386,1.53454283467301,0
35,Nigeria,21.26212121212121,28.672916666666666,28.672916666666666,18.494479166666668,18.494479166666668,61.89177083333333,41.185,67.8253125,6.58625,5.376510416666666,11.450729166666667,0.4845025283030303,NG,9.081999,8.675277,260674560429.94446,-0.5005370336588703,-1.111102303628472,-0.05658366037884792,0
36,Pakistan,20.749200000000002,21.29538356164384,21.29538356164384,18.398438356164384,18.398438356164384,13.711082191780822,20.214342465753425,63.893273972602735,1.6495890410958904,4.078034246575343,5.5760000000000005,0.5038134557924528,PK,30.375321,69.345116,171210638976.55554,-1.2156596271175726,5.909226234858677,-0.4972328928702219,2
37,Peru,41.258573717948714,30.136939102564103,30.136939102564103,19.838333333333335,19.838333333333335,64.6022435897436,61.67024038461539,60.30714743589744,8.756522435897436,2.9387820512820513,52.83100961538462,0.7001812034903846,PE,-9.189967,-75.015152,127819777453.66667,2.3863196697852187,-2.065117338077745,0.9379924914182839,1
38,Philippines,15.964058823529411,29.994450980392156,29.994450980392156,20.841176470588234,20.841176470588234,47.29235294117647,41.49780392156863,63.79327450980392,9.953745098039215,3.4243607843137256,54.50050980392157,0.6157168838128343,PH,12.879721,121.774017,181829190420.27777,2.7330329685688484,-1.4245026998820496,0.22980921132748683,1
39,Rwanda,44.747,28.47875,28.47875,20.794,20.794,73.73,22.997625,50.906375000000004,4.855124999999999,4.4792749999999995,21.389,0.4720255775,RW,-1.940278,29.873888,5001089185.666667,1.3593022412914633,-0.7062055669089167,-3.273477351406285,1
40,Senegal,18.924166666666668,27.903015625000002,27.903015625000002,18.100484375,18.100484375,43.057578125,42.049453125,68.30884375000001,2.9299375,5.331528125,8.697750000000001,0.440535909140625,SN,14.497401,-14.452362,11211402996.944445,-1.2887906594592191,0.09525952186703308,0.5311039613240895,0
41,Sierra Leone,46.90375,28.641875,28.641875,18.101979166666666,18.101979166666666,68.17489583333334,42.270833333333336,65.85583333333334,3.7928125,4.688020833333334,9.548645895833333,0.4005327916666667,SL,8.460555,-11.779889,2626358801.8444443,-1.0528120866823838,-0.963298713565065,-0.06907347935065446,0
42,South Africa,18.22,30.158333186470585,30.158333186470585,22.973055751470586,22.973055751470586,35.99027772882353,72.11750014705882,39.53388879102941,9.715277743470589,2.5572222418088235,36.745000000000005,0.0,ZA,-30.559482,22.937506,281111111111.1111,6.4630842465470115,-1.4120883725480793,-0.18965713993852487,1
43,Tajikistan,20.025,29.595000000000002,29.595000000000002,20.382,20.382,24.686,33.196999999999996,67.776,10.431999999999999,3.5891,14.723999999999998,0.61695632,TJ,38.861034,71.276093,4738185362.322223,2.303997841428305,-0.5626912872212564,1.210711575254031,1
44,Tanzania,34.26804347826087,28.67093023255814,28.67093023255814,18.37,18.37,75.13898255813955,26.063982558139536,64.2550726744186,5.703502906976744,5.432578488372093,23.53974638768116,0.4712934745494186,TZ,-6.369028,34.888822,28386337052.88889,-1.0517624575802702,-1.2085631291681014,-1.3180902220195354,0
45,Timor-Leste,36.98384615384616,28.89153846153846,28.89153846153846,20.188076923076924,20.188076923076924,38.27923076923077,18.762692375,61.674615384615386,6.6692307692307695,5.130961538461539,27.13692306730769,0.5987948769230769,TL,-8.874217,125.727539,2925564092.988889,0.8586085699402303,-0.30705257862778096,-1.1508531933828754,1
46,Togo,23.831666666666667,29.14577777785714,29.14577777785714,18.84083333345238,18.84083333345238,73.51488888904763,35.23805555559524,68.79449999988095,3.4351111111190473,5.234161111107143,11.426666666666668,0.45262244957142855,TG,8.619543,0.824782,2973784073.9444447,-1.1055615235098075,-1.407998568728909,-1.098725377845409,0
47,Turkey,0.0,25.37890909090909,25.37890909090909,19.90327272727273,19.90327272727273,32.51018181818182,54.56618181818182,65.30581818181818,4.427818181818182,2.2981454545454545,0.0,0.7133049991818181,TR,38.963745,35.243322,639166666666.6666,1.4919282464704005,2.4502799451380457,0.9357454223126165,1
48,Uganda,51.48977272727273,27.980514705882353,27.980514705882353,17.568529411764708,17.568529411764708,75.28676470588235,17.87014705882353,63.84220588235295,5.189044117647059,6.427558823529412,28.398529411764706,0.0,UG,1.373333,32.290275,16032635284.444445,-2.164010802850483,-0.8222412207005526,-1.7115706670387805,0
49,Vietnam,0.0,23.322,23.322,20.612857142857145,20.612857142857145,61.53771428571428,13.518857142857144,63.33228571428572,4.781142857142857,2.1062857142857143,0.0,0.5812188744285715,VN,14.058324,108.277199,109858435595.22223,0.899699880472923,3.6778795412186085,-2.6725961414872614,2
50,Zambia,43.87505208333334,28.081578947368417,28.081578947368417,18.109342105263156,18.109342105263156,52.287302631578946,37.66532894736842,59.65223684210526,6.373322368421053,5.774358552631579,32.03279411764706,0.49652231743749997,ZM,-13.133897,27.849332,15763319267.0,-0.48201665831907287,-0.5068827788942255,-0.15522582552350975,0
51,Zimbabwe,33.38636363636363,27.9435937291875,27.9435937291875,19.020250124874998,19.020250124874998,37.3125936875625,34.61278126665,59.653531291624994,8.38850000208125,3.9995,29.2381875208125,0.44582717915,ZW,-19.015438,29.154857,9970391961.11111,1.1084662742442746,0.23456974122607224,0.6352711836024761,1
